Server: Loading model from game_engine/model/best_model.pth
Server Ready: Batch=4096, Streams=8, Device=cuda
   [Worker 0] Starting Game 1...
   [Worker 3] Starting Game 1...
   [Worker 2] Starting Game 1...
   [Worker 6] Starting Game 1...
   [Worker 5] Starting Game 1...
   [Worker 1] Starting Game 1...
   [Worker 4] Starting Game 1...
   [Worker 7] Starting Game 1...
   [Worker 14] Starting Game 1...
   [Worker 8] Starting Game 1...
   [Worker 10] Starting Game 1...
   [Worker 9] Starting Game 1...
   [Worker 11] Starting Game 1...
   [Worker 13] Starting Game 1...
   [Worker 12] Starting Game 1...
   [Worker 17] Starting Game 1...
   [Worker 16] Starting Game 1...
   [Worker 15] Starting Game 1...
   [Worker 22] Starting Game 1...
   [Worker 21] Starting Game 1...
   [Worker 18] Starting Game 1...
   [Worker 25] Starting Game 1...
   [Worker 19] Starting Game 1...
   [Worker 20] Starting Game 1...
   [Worker 23] Starting Game 1...
   [Worker 29] Starting Game 1...
   [Worker 24] Starting Game 1...
   [Worker 26] Starting Game 1...
   [Worker 27] Starting Game 1...
   [Worker 28] Starting Game 1...
   [Worker 36] Starting Game 1...
   [Worker 30] Starting Game 1...
   [Worker 31] Starting Game 1...
   [Worker 32] Starting Game 1...
   [Worker 34] Starting Game 1...
   [Worker 33] Starting Game 1...
   [Worker 35] Starting Game 1...
   [Worker 37] Starting Game 1...
   [Worker 40] Starting Game 1...
   [Worker 42] Starting Game 1...
   [Worker 38] Starting Game 1...
   [Worker 39] Starting Game 1...
   [Worker 41] Starting Game 1...
   [Worker 43] Starting Game 1...
   [Worker 0] Move 1: a2a3 (14.14s | 113 sim/s)
   [Worker 4] Move 47: e2f3 (27.49s | 58 sim/s)
   [Worker 28] Move 55: c5c6 (20.69s | 77 sim/s)
   [Worker 32] Move 144: e7f8 (18.53s | 86 sim/s)
   [Worker 15] Move 147: g3g4 (17.82s | 90 sim/s)
   [Worker 9] Move 211: f5g5 (25.79s | 62 sim/s)
   [Worker 12] Move 241: g8c8 (21.96s | 73 sim/s)
   [Worker 10] Move 291: c6c5 (21.56s | 74 sim/s)
   [Worker 40] Move 108: e4f4 (35.57s | 45 sim/s)
   [Worker 35] Move 87: h2h1 (30.01s | 53 sim/s)
   [Worker 7] Move 82: f3f2 (17.08s | 94 sim/s)
   [Worker 11] Move 122: h7g7 (32.81s | 49 sim/s)
   [Worker 27] Move 55: d2e3 (21.68s | 74 sim/s)
   [Worker 22] Move 71: b3b4 (22.53s | 71 sim/s)
   [Worker 19] Move 102: d5a2 (29.42s | 54 sim/s)
   [Worker 31] Move 28: e8e7 (19.73s | 81 sim/s)
   [Worker 0] Move 58: h8f8 (24.38s | 66 sim/s)
   [Worker 42] Move 177: c7b6 (24.48s | 65 sim/s)
   [Worker 1] Move 256: d6d5 (21.27s | 75 sim/s)
   [Worker 8] Move 59: b2a3 (23.66s | 68 sim/s)
   [Worker 33] Move 60: e6d5 (29.55s | 54 sim/s)
   [Worker 2] Move 249: f8g8 (38.52s | 42 sim/s)
   [Worker 18] Move 9: e2e3 (19.55s | 82 sim/s)
   [Worker 13] Move 68: g6g8 (25.86s | 62 sim/s)
   [Worker 16] Move 69: a4a1 (32.38s | 49 sim/s)
   [Worker 37] Move 47: e6d7 (25.11s | 64 sim/s)
   [Worker 36] Move 201: c4b4 (35.21s | 45 sim/s)
   [Worker 15] Move 148: e8d7 (17.89s | 89 sim/s)
   [Worker 29] Move 181: h2h3 (20.53s | 78 sim/s)
   [Worker 32] Move 145: e4e5 (19.06s | 84 sim/s)
   [Worker 17] Move 104: f7g8 (32.11s | 50 sim/s)
   [Worker 38] Move 64: c6c8 (31.23s | 51 sim/s)
   [Worker 21] Move 350: g6h6 (25.18s | 64 sim/s)
   [Worker 40] Move 109: h8h3 (17.77s | 90 sim/s)
   [Worker 43] Move 226: f1g1 (36.04s | 44 sim/s)
   [Worker 11] Move 123: a2a4 (19.00s | 84 sim/s)
   [Worker 35] Move 88: c6c5 (19.66s | 81 sim/s)
   [Worker 4] Move 48: c5g1 (28.03s | 57 sim/s)
   [Worker 27] Move 56: f7e8 (21.17s | 76 sim/s)
   [Worker 42] Move 178: e7f6 (19.73s | 81 sim/s)
   [Worker 22] Move 72: f4g5 (21.15s | 76 sim/s)
   [Worker 41] Move 205: b7a6 (36.54s | 44 sim/s)
   [Worker 31] Move 29: h1g1 (21.79s | 73 sim/s)
   [Worker 18] Move 10: a8a6 (18.81s | 85 sim/s)
   [Worker 0] Move 59: b1d1 (22.62s | 71 sim/s)
   [Worker 28] Move 56: b8a6 (31.77s | 50 sim/s)
   [Worker 14] Move 319: d5e6 (52.31s | 31 sim/s)
   [Worker 10] Move 292: f8f7 (28.46s | 56 sim/s)
   [Worker 33] Move 61: e7e8q (20.95s | 76 sim/s)
   [Worker 7] Move 83: h2h1 (27.79s | 58 sim/s)
   [Worker 13] Move 69: e6e7 (20.44s | 78 sim/s)
   [Worker 8] Move 60: d2d3 (26.20s | 61 sim/s)
   [Worker 19] Move 103: f2f3 (30.11s | 53 sim/s)
   [Worker 2] Move 250: e6d7 (26.05s | 61 sim/s)
   [Worker 15] Move 149: h5h6 (19.86s | 81 sim/s)
   [Worker 16] Move 70: c8d8 (26.07s | 61 sim/s)
   [Worker 36] Move 202: f5g5 (23.21s | 69 sim/s)
   [Worker 29] Move 182: b7a7 (20.96s | 76 sim/s)
   [Worker 32] Move 146: f8e7 (21.08s | 76 sim/s)
   [Worker 37] Move 48: b7b6 (25.80s | 62 sim/s)
   [Worker 9] Move 212: f2f3 (41.64s | 38 sim/s)
   [Worker 12] Move 242: c2b1 (42.50s | 38 sim/s)
   [Worker 17] Move 105: c2c1 (24.75s | 65 sim/s)
   [Worker 38] Move 65: c4d5 (26.87s | 60 sim/s)
   [Worker 27] Move 57: e3f4 (20.21s | 79 sim/s)
   [Worker 18] Move 11: f1h3 (17.50s | 91 sim/s)
   [Worker 28] Move 57: c6c7 (16.90s | 95 sim/s)
   [Worker 31] Move 30: e7d6 (18.88s | 85 sim/s)
   [Worker 1] Move 257: g6h4 (39.34s | 41 sim/s)
   [Worker 40] Move 110: f4g5 (27.30s | 59 sim/s)
   [Worker 7] Move 84: f4f3 (15.98s | 100 sim/s)
   [Worker 35] Move 89: e2g2 (27.29s | 59 sim/s)
   [Worker 4] Move 49: h1g1 (24.46s | 65 sim/s)
   [Worker 22] Move 73: b4c5 (24.08s | 66 sim/s)
   [Worker 0] Move 60: b8b6 (21.75s | 74 sim/s)
   [Worker 10] Move 293: c5c6 (20.89s | 77 sim/s)
   [Worker 42] Move 179: b6b5 (24.74s | 65 sim/s)
   [Worker 15] Move 150: d7e8 (16.50s | 97 sim/s)
   [Worker 8] Move 61: f1b1 (20.32s | 79 sim/s)
   [Worker 11] Move 124: g7f7 (32.25s | 50 sim/s)
   [Worker 13] Move 70: f8f7 (23.44s | 68 sim/s)
   [Worker 29] Move 183: h3g2 (16.97s | 94 sim/s)
   [Worker 26] Move 140: g7h7 (64.63s | 25 sim/s)
   [Worker 21] Move 351: f8g8 (39.90s | 40 sim/s)
   [Worker 32] Move 147: e5d4 (19.93s | 80 sim/s)
   [Worker 41] Move 206: g1c5 (32.83s | 49 sim/s)
   [Worker 19] Move 104: d8g8 (24.40s | 66 sim/s)
   [Worker 35] Move 90: g5g2 (12.40s | 129 sim/s)
   [Worker 35] Finished Game 3 in 2195.6s |  Total Moves 90 | Result 0-1
   [Worker 35] Starting Game 4...
   [Worker 18] Move 12: d7d6 (16.82s | 95 sim/s)
   [Worker 37] Move 49: d7c8 (22.62s | 71 sim/s)
   [Worker 12] Move 243: c8c7 (20.90s | 77 sim/s)
   [Worker 40] Move 111: h3h4 (17.77s | 90 sim/s)
   [Worker 16] Move 71: d2f3 (27.03s | 59 sim/s)
   [Worker 33] Move 62: b7c8 (35.18s | 45 sim/s)
   [Worker 31] Move 31: a3c2 (19.53s | 82 sim/s)
   [Worker 9] Move 213: d4d5 (24.82s | 64 sim/s)
   [Worker 1] Move 258: d5e5 (20.49s | 78 sim/s)
   [Worker 42] Move 180: f6g5 (17.69s | 90 sim/s)
   [Worker 27] Move 58: e8f7 (24.01s | 67 sim/s)
   [Worker 15] Move 151: h6g6 (17.34s | 92 sim/s)
   [Worker 22] Move 74: g5h4 (21.41s | 75 sim/s)
   [Worker 43] Move 227: a7a6 (52.21s | 31 sim/s)
   [Worker 11] Move 125: a4a5 (20.66s | 77 sim/s)
   [Worker 0] Move 61: f4f6 (25.70s | 62 sim/s)
   [Worker 13] Move 71: h4h5 (21.33s | 75 sim/s)
   [Worker 17] Move 106: g8f7 (33.19s | 48 sim/s)
   [Worker 29] Move 184: a7b6 (21.39s | 75 sim/s)
   [Worker 7] Move 85: a1g1 (30.22s | 53 sim/s)
   [Worker 21] Move 352: h6g6 (18.42s | 87 sim/s)
   [Worker 4] Move 50: b8b6 (28.72s | 56 sim/s)
   [Worker 28] Move 58: a7c7 (33.17s | 48 sim/s)
   [Worker 35] Move 1: e2e3 (17.65s | 91 sim/s)
   [Worker 32] Move 148: e7f7 (21.47s | 75 sim/s)
   [Worker 38] Move 66: b8d7 (35.99s | 44 sim/s)
   [Worker 10] Move 294: f7f8 (31.52s | 51 sim/s)
   [Worker 8] Move 62: d3f3 (28.45s | 56 sim/s)
   [Worker 14] Move 320: f4h2 (54.24s | 29 sim/s)
   [Worker 18] Move 13: e1f1 (20.71s | 77 sim/s)
   [Worker 37] Move 50: a8a7 (22.44s | 71 sim/s)
   [Worker 31] Move 32: c8b7 (20.05s | 80 sim/s)
   [Worker 33] Move 63: a1e1 (21.08s | 76 sim/s)
   [Worker 2] Move 251: a5a6 (51.08s | 31 sim/s)
   [Worker 19] Move 105: d2c4 (27.81s | 58 sim/s)
   [Worker 26] Move 141: a8a7 (30.88s | 52 sim/s)
   [Worker 16] Move 72: e4f3 (24.59s | 65 sim/s)
   [Worker 36] Move 203: b4c5 (52.88s | 30 sim/s)
   [Worker 43] Move 228: f2f3 (17.99s | 89 sim/s)
   [Worker 27] Move 59: f4c7 (21.65s | 74 sim/s)
   [Worker 40] Move 112: g5f6 (27.64s | 58 sim/s)
   [Worker 15] Move 152: e8d7 (21.76s | 74 sim/s)
   [Worker 41] Move 207: e5f5 (34.69s | 46 sim/s)
   [Worker 7] Move 86: c8b8 (17.74s | 90 sim/s)
   [Worker 42] Move 181: b5b6 (27.44s | 58 sim/s)
   [Worker 22] Move 75: a1c1 (24.32s | 66 sim/s)
   [Worker 17] Move 107: c5d4 (19.51s | 82 sim/s)
   [Worker 29] Move 185: g2f2 (21.27s | 75 sim/s)
   [Worker 35] Move 2: c7c6 (18.13s | 88 sim/s)
   [Worker 0] Move 62: g7f6 (23.19s | 69 sim/s)
   [Worker 9] Move 214: f3g3 (34.15s | 47 sim/s)
   [Worker 8] Move 63: e6d6 (17.75s | 90 sim/s)
   [Worker 4] Move 51: a2a4 (21.51s | 74 sim/s)
   [Worker 13] Move 72: f7f6 (24.27s | 66 sim/s)
   [Worker 18] Move 14: e5f4 (17.26s | 93 sim/s)
   [Worker 28] Move 59: c4d5 (21.86s | 73 sim/s)
   [Worker 1] Move 259: h8g8 (35.16s | 46 sim/s)
   [Worker 10] Move 295: c6c5 (20.84s | 77 sim/s)
   [Worker 32] Move 149: d4e5 (22.96s | 70 sim/s)
   [Worker 11] Move 126: f7e8 (28.79s | 56 sim/s)
   [Worker 38] Move 67: e5f6 (23.32s | 69 sim/s)
   [Worker 31] Move 33: a1c1 (19.68s | 81 sim/s)
   [Worker 37] Move 51: c5b6 (21.46s | 75 sim/s)
   [Worker 21] Move 353: g8f8 (30.56s | 52 sim/s)
   [Worker 2] Move 252: b2b6 (23.44s | 68 sim/s)
   [Worker 40] Move 113: b5e5 (18.86s | 85 sim/s)
   [Worker 36] Move 204: d7a4 (22.48s | 71 sim/s)
   [Worker 12] Move 244: b1a2 (50.63s | 32 sim/s)
   [Worker 15] Move 153: g6h6 (21.65s | 74 sim/s)
   [Worker 42] Move 182: d5f3 (19.75s | 81 sim/s)
   [Worker 19] Move 106: g8e8 (29.28s | 55 sim/s)
   [Worker 35] Move 3: f2f3 (19.27s | 83 sim/s)
   [Worker 14] Move 321: b2h2 (34.11s | 47 sim/s)
   [Worker 22] Move 76: d2b2 (21.95s | 73 sim/s)
   [Worker 29] Move 186: b6a7 (22.12s | 72 sim/s)
   [Worker 33] Move 64: c8b7 (34.06s | 47 sim/s)
   [Worker 18] Move 15: a1b1 (19.98s | 80 sim/s)
   [Worker 27] Move 60: f7e8 (29.56s | 54 sim/s)
   [Worker 0] Move 63: f3f4 (22.40s | 71 sim/s)
   [Worker 16] Move 73: g1h2 (32.83s | 49 sim/s)
   [Worker 9] Move 215: b4b5 (22.27s | 72 sim/s)
   [Worker 8] Move 64: f8e8 (22.49s | 71 sim/s)
   [Worker 41] Move 208: c5c6 (29.26s | 55 sim/s)
   [Worker 32] Move 150: f7g8 (20.25s | 79 sim/s)
   [Worker 1] Move 260: d7c6 (22.72s | 70 sim/s)
   [Worker 11] Move 127: a5a6 (22.01s | 73 sim/s)
   [Worker 4] Move 52: b6c6 (26.96s | 59 sim/s)
   [Worker 13] Move 73: d5d6 (27.30s | 59 sim/s)
   [Worker 28] Move 60: c7c8 (27.69s | 58 sim/s)
   [Worker 10] Move 296: f8e8 (26.00s | 62 sim/s)
   [Worker 7] Move 87: g1f1 (34.88s | 46 sim/s)
   [Worker 21] Move 354: g6h6 (22.13s | 72 sim/s)
   [Worker 31] Move 34: h8g8 (25.17s | 64 sim/s)
   [Worker 37] Move 52: d8d4 (25.85s | 62 sim/s)
   [Worker 15] Move 154: d7c8 (18.36s | 87 sim/s)
   [Worker 35] Move 4: e7e5 (16.16s | 99 sim/s)
   [Worker 17] Move 108: f7g8 (38.54s | 42 sim/s)
   [Worker 22] Move 77: c5c4 (17.48s | 92 sim/s)
   [Worker 38] Move 68: d7f8 (30.89s | 52 sim/s)
   [Worker 29] Move 187: f2e3 (16.32s | 98 sim/s)
   [Worker 12] Move 245: c7c8 (22.93s | 70 sim/s)
   [Worker 18] Move 16: c8d7 (18.45s | 87 sim/s)
   [Worker 27] Move 61: c3a2 (18.39s | 87 sim/s)
   [Worker 8] Move 65: d6c7 (17.82s | 90 sim/s)
   [Worker 40] Move 114: f6g6 (29.90s | 54 sim/s)
   [Worker 32] Move 151: e5d6 (17.53s | 91 sim/s)
   [Worker 0] Move 64: f6f5 (20.56s | 78 sim/s)
   [Worker 42] Move 183: b6b5 (30.09s | 53 sim/s)
   [Worker 33] Move 65: e8e2 (26.40s | 61 sim/s)
   [Worker 16] Move 74: f3g2 (24.82s | 64 sim/s)
   [Worker 4] Move 53: a4a3 (20.16s | 79 sim/s)
   [Worker 19] Move 107: e1f2 (31.39s | 51 sim/s)
   [Worker 10] Move 297: c5d6 (19.44s | 82 sim/s)
   [Worker 35] Move 5: e1f2 (15.57s | 103 sim/s)
   [Worker 36] Move 205: c5d6 (36.42s | 44 sim/s)
   [Worker 28] Move 61: g2h3 (20.99s | 76 sim/s)
   [Worker 15] Move 155: g4g5 (17.78s | 90 sim/s)
   [Worker 31] Move 35: g2g4 (20.32s | 79 sim/s)
   [Worker 43] Move 229: a6b7 (59.72s | 27 sim/s)
   [Worker 17] Move 109: f3g2 (16.55s | 97 sim/s)
   [Worker 7] Move 88: f2f1 (22.18s | 72 sim/s)
   [Worker 37] Move 53: d1c2 (20.41s | 78 sim/s)
   [Worker 11] Move 128: e8f7 (29.51s | 54 sim/s)
   [Worker 9] Move 216: g3f2 (33.74s | 47 sim/s)
   [Worker 29] Move 188: a7a8 (19.86s | 81 sim/s)
   [Worker 22] Move 78: h4g5 (21.18s | 76 sim/s)
   [Worker 13] Move 74: e8f8 (30.11s | 53 sim/s)
   [Worker 26] Move 142: h7g8 (68.94s | 23 sim/s)
   [Worker 18] Move 17: d1f3 (20.31s | 79 sim/s)
   [Worker 41] Move 209: a6a7 (36.61s | 44 sim/s)
   [Worker 27] Move 62: b7b6 (22.92s | 70 sim/s)
   [Worker 32] Move 152: g5h6 (21.89s | 73 sim/s)
   [Worker 14] Move 322: a5a6 (46.46s | 34 sim/s)
   [Worker 42] Move 184: f3e4 (18.94s | 84 sim/s)
   [Worker 38] Move 69: f6f7 (29.38s | 54 sim/s)
   [Worker 0] Move 65: f2e3 (23.56s | 68 sim/s)
   [Worker 35] Move 6: b7b6 (16.69s | 96 sim/s)
   [Worker 40] Move 115: g4g5 (25.11s | 64 sim/s)
   [Worker 36] Move 206: g5f6 (18.06s | 89 sim/s)
   [Worker 15] Move 156: c8d8 (17.74s | 90 sim/s)
   [Worker 8] Move 66: f3f6 (28.46s | 56 sim/s)
   [Worker 21] Move 355: f8g8 (40.27s | 40 sim/s)
   [Worker 2] Move 253: h8g6 (60.73s | 26 sim/s)
   [Worker 1] Move 261: g8f8 (46.73s | 34 sim/s)
   [Worker 37] Move 54: a7c7 (19.35s | 83 sim/s)
   [Worker 43] Move 230: g4g5 (22.33s | 72 sim/s)
   [Worker 31] Move 36: a8e8 (23.30s | 69 sim/s)
   [Worker 11] Move 129: a6a7 (18.79s | 85 sim/s)
   [Worker 4] Move 54: e8d7 (27.09s | 59 sim/s)
   [Worker 19] Move 108: e8e4 (26.23s | 61 sim/s)
   [Worker 10] Move 298: e8f8 (26.67s | 60 sim/s)
   [Worker 29] Move 189: e3e4 (20.16s | 79 sim/s)
   [Worker 28] Move 62: f6e7 (26.91s | 59 sim/s)
   [Worker 33] Move 66: b7c8 (31.40s | 51 sim/s)
   [Worker 22] Move 79: c4d5 (22.03s | 73 sim/s)
   [Worker 18] Move 18: f7f6 (20.60s | 78 sim/s)
   [Worker 7] Move 89: h1h2 (28.82s | 56 sim/s)
   [Worker 13] Move 75: e7f8q (23.56s | 68 sim/s)
   [Worker 16] Move 75: h2g2 (35.38s | 45 sim/s)
   [Worker 9] Move 217: g5g4 (26.76s | 60 sim/s)
   [Worker 32] Move 153: d6e5 (19.73s | 81 sim/s)
   [Worker 26] Move 143: a7b7 (25.44s | 63 sim/s)
   [Worker 35] Move 7: g2g3 (18.92s | 85 sim/s)
   [Worker 27] Move 63: c7b7 (22.80s | 70 sim/s)
   [Worker 17] Move 110: g8f8 (34.50s | 46 sim/s)
   [Worker 15] Move 157: h6g6 (17.77s | 90 sim/s)
   [Worker 21] Move 356: h6g6 (17.17s | 93 sim/s)
   [Worker 14] Move 323: e6e7 (23.72s | 67 sim/s)
   [Worker 0] Move 66: c7c5 (23.33s | 69 sim/s)
   [Worker 8] Move 67: c7b7 (21.70s | 74 sim/s)
   [Worker 41] Move 210: c6f6 (31.25s | 51 sim/s)
   [Worker 37] Move 55: c2b3 (21.15s | 76 sim/s)
   [Worker 1] Move 262: e5d5 (22.60s | 71 sim/s)
   [Worker 12] Move 246: a2b1 (57.60s | 28 sim/s)
   [Worker 29] Move 190: a8b8 (18.55s | 86 sim/s)
   [Worker 31] Move 37: b2b4 (20.92s | 76 sim/s)
   [Worker 10] Move 299: d6c6 (21.68s | 74 sim/s)
   [Worker 4] Move 55: g6h8 (22.45s | 71 sim/s)
   [Worker 42] Move 185: b5b6 (32.50s | 49 sim/s)
   [Worker 38] Move 70: c8c5 (31.70s | 50 sim/s)
   [Worker 7] Move 90: f6e8 (17.72s | 90 sim/s)
   [Worker 18] Move 19: f3f4 (19.45s | 82 sim/s)
   [Worker 28] Move 63: b2b3 (23.19s | 69 sim/s)
   [Worker 33] Move 67: h2g4 (22.29s | 72 sim/s)
   [Worker 35] Move 8: g7g5 (16.45s | 97 sim/s)
   [Worker 40] Move 116: g6f7 (36.01s | 44 sim/s)
   [Worker 11] Move 130: f7g7 (28.42s | 56 sim/s)
   [Worker 2] Move 254: b6d6 (32.57s | 49 sim/s)
   [Worker 19] Move 109: c4e5 (31.30s | 51 sim/s)
   [Worker 16] Move 76: d7e8 (23.60s | 68 sim/s)
   [Worker 15] Move 158: d8c7 (20.14s | 79 sim/s)
   [Worker 36] Move 207: d6d5 (38.86s | 41 sim/s)
   [Worker 32] Move 154: g7g6 (23.80s | 67 sim/s)
   [Worker 22] Move 80: b2c2 (28.77s | 56 sim/s)
   [Worker 17] Move 111: g2c6 (22.08s | 72 sim/s)
   [Worker 27] Move 64: c8b7 (22.54s | 71 sim/s)
   [Worker 12] Move 247: c8c7 (17.60s | 91 sim/s)
   [Worker 13] Move 76: g8f8 (32.37s | 49 sim/s)
   [Worker 29] Move 191: e4e3 (19.35s | 83 sim/s)
   [Worker 42] Move 186: g5f6 (17.94s | 89 sim/s)
   [Worker 0] Move 67: e3c1 (26.19s | 61 sim/s)
   [Worker 37] Move 56: c7c8 (21.70s | 74 sim/s)
   [Worker 31] Move 38: d6c6 (21.36s | 75 sim/s)
   [Worker 35] Move 9: f2g2 (16.62s | 96 sim/s)
   [Worker 9] Move 218: f2f1 (36.65s | 44 sim/s)
   [Worker 21] Move 357: g8f8 (31.87s | 50 sim/s)
   [Worker 11] Move 131: a7a8q (17.50s | 91 sim/s)
   [Worker 10] Move 300: f8g8 (24.71s | 65 sim/s)
   [Worker 8] Move 68: e8f8 (30.94s | 52 sim/s)
   [Worker 18] Move 20: h7h6 (22.04s | 73 sim/s)
   [Worker 36] Move 208: f6f7 (16.84s | 95 sim/s)
   [Worker 15] Move 159: g6h6 (18.58s | 86 sim/s)
   [Worker 4] Move 56: e4f3 (28.50s | 56 sim/s)
   [Worker 40] Move 117: b4b5 (23.74s | 67 sim/s)
   [Worker 28] Move 64: c8h8 (27.10s | 59 sim/s)
   [Worker 27] Move 65: e2f1 (20.04s | 80 sim/s)
   [Worker 22] Move 81: c1c2 (20.68s | 77 sim/s)
   [Worker 32] Move 155: e5f6 (21.88s | 73 sim/s)
   [Worker 38] Move 71: d5c5 (32.49s | 49 sim/s)
   [Worker 1] Move 263: a6a7 (35.60s | 45 sim/s)
   [Worker 29] Move 192: b8a8 (17.33s | 92 sim/s)
   [Worker 14] Move 324: a6a5 (44.22s | 36 sim/s)
   [Worker 33] Move 68: c8a6 (33.14s | 48 sim/s)
   [Worker 13] Move 77: e4d5 (19.62s | 82 sim/s)
   [Worker 7] Move 91: h2g3 (35.21s | 45 sim/s)
   [Worker 0] Move 68: f7f6 (18.48s | 87 sim/s)
   [Worker 41] Move 211: f5f6 (42.30s | 38 sim/s)
   [Worker 35] Move 10: g8f6 (16.40s | 98 sim/s)
   [Worker 21] Move 358: g6h6 (16.24s | 98 sim/s)
   [Worker 9] Move 219: g4g5 (17.45s | 92 sim/s)
   [Worker 31] Move 39: a2a4 (20.54s | 78 sim/s)
   [Worker 19] Move 110: h7g7 (31.68s | 51 sim/s)
   [Worker 26] Move 144: a2c4 (54.35s | 29 sim/s)
   [Worker 18] Move 21: c2c4 (18.52s | 86 sim/s)
   [Worker 16] Move 77: e1d2 (34.73s | 46 sim/s)
   [Worker 8] Move 69: b7d7 (19.21s | 83 sim/s)
   [Worker 10] Move 301: c6c5 (19.37s | 83 sim/s)
   [Worker 15] Move 160: c7d8 (17.00s | 94 sim/s)
   [Worker 17] Move 112: f8f7 (35.73s | 45 sim/s)
   [Worker 37] Move 57: b3a2 (28.81s | 56 sim/s)
   [Worker 42] Move 187: b6b5 (30.45s | 53 sim/s)
   [Worker 32] Move 156: g8f8 (16.72s | 96 sim/s)
   [Worker 2] Move 255: g8h8 (44.90s | 36 sim/s)
   [Worker 29] Move 193: e3f4 (17.24s | 93 sim/s)
   [Worker 4] Move 57: a3b3 (23.65s | 68 sim/s)
   [Worker 1] Move 264: d5g2 (19.80s | 81 sim/s)
   [Worker 7] Move 92: g7e5 (16.55s | 97 sim/s)
   [Worker 27] Move 66: e7e6 (22.39s | 71 sim/s)
   [Worker 28] Move 65: f2f1 (23.81s | 67 sim/s)
   [Worker 22] Move 82: g5g6 (24.72s | 65 sim/s)
   [Worker 14] Move 325: h2c7 (21.02s | 76 sim/s)
   [Worker 35] Move 11: h2h4 (19.05s | 84 sim/s)
   [Worker 0] Move 69: e2g3 (21.75s | 74 sim/s)
   [Worker 40] Move 118: f7g8 (30.23s | 53 sim/s)
   [Worker 11] Move 132: g7f7 (36.72s | 44 sim/s)
   [Worker 26] Move 145: e5c4 (20.70s | 77 sim/s)
   [Worker 12] Move 248: b1b2 (47.30s | 34 sim/s)
   [Worker 15] Move 161: h6h7 (17.75s | 90 sim/s)
   [Worker 31] Move 40: a6b4 (22.64s | 71 sim/s)
   [Worker 33] Move 69: h6h7 (26.27s | 61 sim/s)
   [Worker 13] Move 78: f8d8 (26.62s | 60 sim/s)
   [Worker 18] Move 22: f8e7 (21.57s | 74 sim/s)
   [Worker 17] Move 113: c6d6 (18.36s | 87 sim/s)
   [Worker 36] Move 209: d5e5 (38.67s | 41 sim/s)
   [Worker 38] Move 72: f8e6 (32.83s | 49 sim/s)
   [Worker 41] Move 212: d8e8 (28.74s | 56 sim/s)
   [Worker 16] Move 78: d3f5 (22.51s | 71 sim/s)
   [Worker 37] Move 58: c8c4 (20.10s | 80 sim/s)
   [Worker 42] Move 188: f6f7 (20.40s | 78 sim/s)
   [Worker 32] Move 157: f6g6 (20.52s | 78 sim/s)
   [Worker 10] Move 302: g8f8 (25.75s | 62 sim/s)
   [Worker 8] Move 70: h8g8 (26.68s | 60 sim/s)
   [Worker 29] Move 194: a8b8 (19.19s | 83 sim/s)
   [Worker 43] Move 231: b7c8 (94.95s | 17 sim/s)
   [Worker 19] Move 111: f2g2 (32.42s | 49 sim/s)
   [Worker 22] Move 83: e2e3 (18.10s | 88 sim/s)
   [Worker 35] Move 12: f6g4 (19.62s | 82 sim/s)
   [Worker 2] Move 256: d6d5 (25.27s | 63 sim/s)
   [Worker 9] Move 220: f1g1 (36.51s | 44 sim/s)
   [Worker 11] Move 133: a8d5 (18.63s | 86 sim/s)
   [Worker 27] Move 67: c1c3 (25.51s | 63 sim/s)
   [Worker 4] Move 58: g8f6 (27.28s | 59 sim/s)
   [Worker 12] Move 249: d7e6 (17.47s | 92 sim/s)
   [Worker 0] Move 70: e8f7 (21.40s | 75 sim/s)
   [Worker 21] Move 359: f8g8 (41.07s | 39 sim/s)
   [Worker 40] Move 119: b5b6 (21.65s | 74 sim/s)
   [Worker 15] Move 162: d8d7 (19.59s | 82 sim/s)
   [Worker 28] Move 66: h8h3 (28.74s | 56 sim/s)
   [Worker 36] Move 210: a7b7 (18.84s | 85 sim/s)
   [Worker 7] Move 93: g3g4 (32.18s | 50 sim/s)
   [Worker 1] Move 265: f8e7 (33.30s | 48 sim/s)
   [Worker 31] Move 41: c3b4 (24.42s | 66 sim/s)
   [Worker 13] Move 79: h5h6 (24.08s | 66 sim/s)
   [Worker 41] Move 213: a7b7 (21.85s | 73 sim/s)
   [Worker 18] Move 23: a3c2 (22.63s | 71 sim/s)
   [Worker 33] Move 70: a6c8 (25.22s | 63 sim/s)
   [Worker 38] Move 73: c5e5 (22.81s | 70 sim/s)
   [Worker 32] Move 158: f8e7 (20.59s | 78 sim/s)
   [Worker 43] Move 232: e6c5 (19.20s | 83 sim/s)
   [Worker 29] Move 195: f4g4 (19.55s | 82 sim/s)
   [Worker 10] Move 303: c5c6 (21.47s | 75 sim/s)
   [Worker 14] Move 326: a5a4 (36.39s | 44 sim/s)
   [Worker 37] Move 59: a1b1 (26.72s | 60 sim/s)
   [Worker 8] Move 71: g4h3 (24.47s | 65 sim/s)
   [Worker 17] Move 114: f7g8 (31.80s | 50 sim/s)
   [Worker 35] Move 13: d2d3 (21.79s | 73 sim/s)
   [Worker 21] Move 360: h6g6 (19.98s | 80 sim/s)
   [Worker 9] Move 221: g5h5 (23.82s | 67 sim/s)
   [Worker 15] Move 163: h7h6 (18.91s | 85 sim/s)
   [Worker 4] Move 59: e1d1 (22.31s | 72 sim/s)
